date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:38:53	246/246	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Feb%202019%2011:08:47%20GMT	https://demo.opencart.com/robots.txt		(from )
16:38:53	21068/21068	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2011:08:47%20GMT	https://demo.opencart.com/	D:/redeem/demo.opencart.com/index.html	(from )
16:38:54	84249/84249	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2005%20Jul%202017%2012:31:43%20GMT	https://demo.opencart.com/catalog/view/javascript/jquery/jquery-2.1.1.min.js	D:/redeem/demo.opencart.com/catalog/view/javascript/jquery/jquery-2.1.1.min.js	(from https://demo.opencart.com/)
16:38:54	122544/122544	---MCZ	200	added ('OK')	text/css	date:Wed,%2005%20Jul%202017%2012:33:10%20GMT	https://demo.opencart.com/catalog/view/javascript/bootstrap/css/bootstrap.min.css	D:/redeem/demo.opencart.com/catalog/view/javascript/bootstrap/css/bootstrap.min.css	(from https://demo.opencart.com/)
16:38:54	36822/36822	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2005%20Jul%202017%2012:33:20%20GMT	https://demo.opencart.com/catalog/view/javascript/bootstrap/js/bootstrap.min.js	D:/redeem/demo.opencart.com/catalog/view/javascript/bootstrap/js/bootstrap.min.js	(from https://demo.opencart.com/)
16:38:54	31004/31004	---MCZ	200	added ('OK')	text/css	date:Wed,%2005%20Jul%202017%2012:33:27%20GMT	https://demo.opencart.com/catalog/view/javascript/font-awesome/css/font-awesome.min.css	D:/redeem/demo.opencart.com/catalog/view/javascript/font-awesome/css/font-awesome.min.css	(from https://demo.opencart.com/)
16:38:54	12953/12953	---MCZ	200	added ('OK')	text/css	date:Wed,%2005%20Jul%202017%2012:34:23%20GMT	https://demo.opencart.com/catalog/view/theme/default/stylesheet/stylesheet.css	D:/redeem/demo.opencart.com/catalog/view/theme/default/stylesheet/stylesheet.css	(from https://demo.opencart.com/)
16:38:55	17773/17773	---MCZ	200	added ('OK')	text/css	date:Wed,%2005%20Jul%202017%2012:34:34%20GMT	https://demo.opencart.com/catalog/view/javascript/jquery/swiper/css/swiper.min.css	D:/redeem/demo.opencart.com/catalog/view/javascript/jquery/swiper/css/swiper.min.css	(from https://demo.opencart.com/)
16:38:55	1564/1564	---MCZ	200	added ('OK')	text/css	date:Wed,%2005%20Jul%202017%2012:34:33%20GMT	https://demo.opencart.com/catalog/view/javascript/jquery/swiper/css/opencart.css	D:/redeem/demo.opencart.com/catalog/view/javascript/jquery/swiper/css/opencart.css	(from https://demo.opencart.com/)
16:38:55	109497/109497	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2005%20Jul%202017%2012:34:37%20GMT	https://demo.opencart.com/catalog/view/javascript/jquery/swiper/js/swiper.jquery.js	D:/redeem/demo.opencart.com/catalog/view/javascript/jquery/swiper/js/swiper.jquery.js	(from https://demo.opencart.com/)
16:38:55	10457/10457	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2005%20Jul%202017%2012:28:09%20GMT	https://demo.opencart.com/catalog/view/javascript/common.js	D:/redeem/demo.opencart.com/catalog/view/javascript/common.js	(from https://demo.opencart.com/)
16:38:56	383/383	---M--	200	added ('OK')	image/png	date:Wed,%2005%20Jul%202017%2012:37:19%20GMT	https://demo.opencart.com/image/catalog/cart.png	D:/redeem/demo.opencart.com/image/catalog/cart.png	(from https://demo.opencart.com/)
16:38:57	13811/13811	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2011:08:51%20GMT	https://demo.opencart.com/index.php?route=information/contact	D:/redeem/demo.opencart.com/index2724.html	(from https://demo.opencart.com/)
